Match,Winning Team,Player,Runs,Balls,M,4s,6s,SR,Match ID
India vs Australia,Australia,Rohit Sharma ,47,31,44,4,3,151.61,ODI # 4662
India vs Australia,Australia,Shubman Gill ,4,7,21,0,0,57.14,ODI # 4662
India vs Australia,Australia,Virat Kohli ,54,63,99,4,0,85.71,ODI # 4662
India vs Australia,Australia,Shreyas Iyer ,4,3,3,1,0,133.33,ODI # 4662
India vs Australia,Australia,KL Rahul ,66,107,133,1,0,61.68,ODI # 4662
India vs Australia,Australia,Ravindra Jadeja ,9,22,33,0,0,40.90,ODI # 4662
India vs Australia,Australia,Suryakumar Yadav ,18,28,57,1,0,64.28,ODI # 4662
India vs Australia,Australia,Mohammed Shami ,6,10,9,1,0,60.00,ODI # 4662
India vs Australia,Australia,Jasprit Bumrah ,1,3,5,0,0,33.33,ODI # 4662
India vs Australia,Australia,Kuldeep Yadav ,10,18,28,0,0,55.55,ODI # 4662
India vs Australia,Australia,Mohammed Siraj ,9,8,13,1,0,112.50,ODI # 4662
India vs Australia,Australia,David Warner ,7,3,6,1,0,233.33,ODI # 4662
India vs Australia,Australia,Travis Head ,137,120,166,15,4,114.16,ODI # 4662
India vs Australia,Australia,Mitchell Marsh ,15,15,15,1,1,100.00,ODI # 4662
India vs Australia,Australia,Steven Smith ,4,9,11,1,0,44.44,ODI # 4662
India vs Australia,Australia,Marnus Labuschagne ,58,110,133,4,0,52.72,ODI # 4662
India vs Australia,Australia,Glenn Maxwell ,2,1,1,0,0,200.00,ODI # 4662
Australia vs South Africa,Australia,Quinton de Kock ,3,14,27,0,0,21.42,ODI # 4667
Australia vs South Africa,Australia,Temba Bavuma ,0,4,5,0,0,0.00,ODI # 4667
Australia vs South Africa,Australia,Rassie van der Dussen ,6,31,53,0,0,19.35,ODI # 4667
Australia vs South Africa,Australia,Aiden Markram ,10,20,24,2,0,50.00,ODI # 4667
Australia vs South Africa,Australia,Heinrich Klaasen ,47,48,76,4,2,97.91,ODI # 4667
Australia vs South Africa,Australia,David Miller ,101,116,138,8,5,87.06,ODI # 4667
Australia vs South Africa,Australia,Marco Jansen ,0,1,1,0,0,0.00,ODI # 4667
Australia vs South Africa,Australia,Gerald Coetzee ,19,39,42,2,0,48.71,ODI # 4667
Australia vs South Africa,Australia,Keshav Maharaj ,4,8,13,0,0,50.00,ODI # 4667
Australia vs South Africa,Australia,Kagiso Rabada ,10,12,18,0,1,83.33,ODI # 4667
Australia vs South Africa,Australia,Tabraiz Shamsi ,1,5,11,0,0,20.00,ODI # 4667
Australia vs South Africa,Australia,Travis Head ,62,48,62,9,2,129.16,ODI # 4667
Australia vs South Africa,Australia,David Warner ,29,18,29,1,4,161.11,ODI # 4667
Australia vs South Africa,Australia,Mitchell Marsh ,0,6,5,0,0,0.00,ODI # 4667
Australia vs South Africa,Australia,Steven Smith ,30,62,102,2,0,48.38,ODI # 4667
Australia vs South Africa,Australia,Marnus Labuschagne ,18,31,28,2,0,58.06,ODI # 4667
Australia vs South Africa,Australia,Glenn Maxwell ,1,5,8,0,0,20.00,ODI # 4667
Australia vs South Africa,Australia,Josh Inglis ,28,49,66,3,0,57.14,ODI # 4667
Australia vs South Africa,Australia,Mitchell Starc ,16,38,61,2,0,42.10,ODI # 4667
Australia vs South Africa,Australia,Pat Cummins ,14,29,32,2,0,48.27,ODI # 4667
India vs New Zealand,India,Rohit Sharma ,47,29,40,4,4,162.06,ODI # 4678
India vs New Zealand,India,Shubman Gill ,80,66,116,8,3,121.21,ODI # 4678
India vs New Zealand,India,Virat Kohli ,117,113,149,9,2,103.53,ODI # 4678
India vs New Zealand,India,Shreyas Iyer ,105,70,114,4,8,150.00,ODI # 4678
India vs New Zealand,India,KL Rahul ,39,20,29,5,2,195.00,ODI # 4678
India vs New Zealand,India,Suryakumar Yadav ,1,2,2,0,0,50.00,ODI # 4678
India vs New Zealand,India,Devon Conway ,13,15,26,3,0,86.66,ODI # 4678
India vs New Zealand,India,Rachin Ravindra ,13,22,39,3,0,59.09,ODI # 4678
India vs New Zealand,India,Kane Williamson ,69,73,116,8,1,94.52,ODI # 4678
India vs New Zealand,India,Daryl Mitchell ,134,119,180,9,7,112.60,ODI # 4678
India vs New Zealand,India,Tom Latham ,0,2,1,0,0,0.00,ODI # 4678
India vs New Zealand,India,Glenn Phillips ,41,33,58,4,2,124.24,ODI # 4678
India vs New Zealand,India,Mark Chapman ,2,5,5,0,0,40.00,ODI # 4678
India vs New Zealand,India,Mitchell Santner ,9,10,20,0,0,90.00,ODI # 4678
India vs New Zealand,India,Tim Southee ,9,10,14,1,0,90.00,ODI # 4678
India vs New Zealand,India,Trent Boult ,2,2,5,0,0,100.00,ODI # 4678
India vs New Zealand,India,Lockie Ferguson ,6,3,2,0,1,200.00,ODI # 4678
India vs Netherlands,India,Rohit Sharma ,61,54,74,8,2,112.96,ODI # 4702
India vs Netherlands,India,Shubman Gill ,51,32,49,3,4,159.37,ODI # 4702
India vs Netherlands,India,Virat Kohli ,51,56,69,5,1,91.07,ODI # 4702
India vs Netherlands,India,Shreyas Iyer ,128,94,145,10,5,136.17,ODI # 4702
India vs Netherlands,India,KL Rahul ,102,64,98,11,4,159.37,ODI # 4702
India vs Netherlands,India,Suryakumar Yadav ,2,1,1,0,0,200.00,ODI # 4702
India vs Netherlands,India,Wesley Barresi ,4,5,8,0,0,80.00,ODI # 4702
India vs Netherlands,India,Max O'Dowd ,30,42,68,3,1,71.42,ODI # 4702
India vs Netherlands,India,Colin Ackermann ,35,32,46,6,0,109.37,ODI # 4702
India vs Netherlands,India,Sybrand Engelbrecht ,45,80,87,4,0,56.25,ODI # 4702
India vs Netherlands,India,Scott Edwards ,17,30,27,1,0,56.66,ODI # 4702
India vs Netherlands,India,Bas de Leede ,12,21,23,1,0,57.14,ODI # 4702
India vs Netherlands,India,Teja Nidamanuru ,54,39,65,1,6,138.46,ODI # 4702
India vs Netherlands,India,Logan van Beek ,16,15,20,2,0,106.66,ODI # 4702
India vs Netherlands,India,Roelof van der Merwe ,16,8,5,1,2,200.00,ODI # 4702
India vs Netherlands,India,Aryan Dutt ,5,11,9,0,0,45.45,ODI # 4702
India vs Netherlands,India,Paul van Meekeren ,3,4,7,0,0,75.00,ODI # 4702
England vs Pakistan,England,Dawid Malan ,31,39,61,5,0,79.48,ODI # 4701
England vs Pakistan,England,Jonny Bairstow ,59,61,81,7,1,96.72,ODI # 4701
England vs Pakistan,England,Joe Root ,60,72,115,4,0,83.33,ODI # 4701
England vs Pakistan,England,Ben Stokes ,84,76,85,11,2,110.52,ODI # 4701
England vs Pakistan,England,Jos Buttler ,27,18,39,3,1,150.00,ODI # 4701
England vs Pakistan,England,Harry Brook ,30,17,24,2,2,176.47,ODI # 4701
England vs Pakistan,England,Moeen Ali ,8,6,10,0,1,133.33,ODI # 4701
England vs Pakistan,England,Chris Woakes ,4,4,19,1,0,100.00,ODI # 4701
England vs Pakistan,England,David Willey ,15,5,5,2,1,300.00,ODI # 4701
England vs Pakistan,England,Gus Atkinson ,0,1,1,0,0,0.00,ODI # 4701
England vs Pakistan,England,Adil Rashid ,0,1,1,0,0,0.00,ODI # 4701
England vs Pakistan,England,Abdullah Shafique ,0,2,2,0,0,0.00,ODI # 4701
England vs Pakistan,England,Fakhar Zaman ,1,9,13,0,0,11.11,ODI # 4701
England vs Pakistan,England,Babar Azam ,38,45,58,6,0,84.44,ODI # 4701
England vs Pakistan,England,Mohammad Rizwan ,36,51,78,2,0,70.58,ODI # 4701
England vs Pakistan,England,Saud Shakeel ,29,37,52,4,0,78.37,ODI # 4701
England vs Pakistan,England,Agha Salman ,51,45,53,6,1,113.33,ODI # 4701
England vs Pakistan,England,Iftikhar Ahmed ,3,5,8,0,0,60.00,ODI # 4701
England vs Pakistan,England,Shadab Khan ,4,7,4,1,0,57.14,ODI # 4701
England vs Pakistan,England,Shaheen Shah Afridi ,25,23,23,3,1,108.69,ODI # 4701
England vs Pakistan,England,Mohammad Wasim ,16,14,33,2,1,114.28,ODI # 4701
England vs Pakistan,England,Haris Rauf ,35,23,27,3,3,152.17,ODI # 4701
Australia vs Bangladesh,Australia,Tanzid Hasan ,36,34,55,6,0,105.88,ODI # 4700
Australia vs Bangladesh,Australia,Litton Das ,36,45,76,5,0,80.00,ODI # 4700
Australia vs Bangladesh,Australia,Najmul Hossain Shanto ,45,57,59,6,0,78.94,ODI # 4700
Australia vs Bangladesh,Australia,Towhid Hridoy ,74,79,121,5,2,93.67,ODI # 4700
Australia vs Bangladesh,Australia,Mahmudullah ,32,28,34,1,3,114.28,ODI # 4700
Australia vs Bangladesh,Australia,Mushfiqur Rahim ,21,24,27,0,1,87.50,ODI # 4700
Australia vs Bangladesh,Australia,Mehidy Hasan Miraz ,29,20,33,4,0,145.00,ODI # 4700
Australia vs Bangladesh,Australia,Nasum Ahmed ,7,11,15,0,0,63.63,ODI # 4700
Australia vs Bangladesh,Australia,Mahedi Hasan ,2,3,4,0,0,66.66,ODI # 4700
Australia vs Bangladesh,Australia,Taskin Ahmed ,0,1,2,0,0,0.00,ODI # 4700
Australia vs Bangladesh,Australia,Travis Head ,10,11,11,2,0,90.90,ODI # 4700
Australia vs Bangladesh,Australia,David Warner ,53,61,90,6,0,86.88,ODI # 4700
Australia vs Bangladesh,Australia,Mitchell Marsh ,177,132,177,17,9,134.09,ODI # 4700
Australia vs Bangladesh,Australia,Steven Smith ,63,64,99,4,1,98.43,ODI # 4700
Afghanistan vs South Africa,South Africa,Rahmanullah Gurbaz ,25,22,45,3,1,113.63,ODI # 4699
Afghanistan vs South Africa,South Africa,Ibrahim Zadran ,15,30,52,3,0,50.00,ODI # 4699
Afghanistan vs South Africa,South Africa,Rahmat Shah ,26,46,58,2,0,56.52,ODI # 4699
