Name,Age,Batting Style,Bowling Style,Playing Role
Rohit Gurunath Sharma,36y 239d,Right hand Bat,Right arm Offbreak,Top order Batter
Shubman Gill,24y 108d,Right hand Bat,Right arm Offbreak,Opening Batter
Virat Kohli,35y 50d,Right hand Bat,Right arm Medium,Top order Batter
Shreyas Santosh Iyer,29y 19d,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
Kannaur Lokesh Rahul,31y 251d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Ravindrasinh Anirudhsinh Jadeja,35y 19d,Left hand Bat,Slow Left arm Orthodox,Allrounder
Suryakumar Ashok Yadav,33y 102d,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
Mohammed Shami Ahmed,33y 113d,Right hand Bat,Right arm Fast,Bowler
Jasprit Jasbirsingh Bumrah,30y 19d,Right hand Bat,Right arm Fast,Bowler
Kuldeep Yadav,29y 11d,Left hand Bat,Left arm Wrist spin,Bowler
Mohammed Siraj,29y 287d,Right hand Bat,Right arm Fast,Bowler
Mitchell Aaron Starc,33y 329d,Left hand Bat,Left arm Fast,Bowler
Josh Reginald Hazlewood,32y 351d,Left hand Bat,Right arm Fast medium,Bowler
Glenn James Maxwell,35y 72d,Right hand Bat,Right arm Offbreak,Batting Allrounder
Patrick James Cummins,30y 231d,Cummo,Right hand Bat,Right arm Fast
Adam Zampa,31y 269d,Right hand Bat,Legbreak Googly,Bowler
Mitchell Ross Marsh,32y 66d,Right hand Bat,Right arm Medium,Allrounder
Travis Michael Head,29y 361d,Left hand Bat,Right arm Offbreak,Wicketkeeper
David Andrew Warner,37y 59d,Lloyd,Left hand Bat,Legbreak
Steven Peter Devereux Smith,34y 206d,Steve Smith,Right hand Bat,Legbreak Googly
Marnus Labuschagne,29y 186d,Right hand Bat,Legbreak,Batter
Joshua Patrick Inglis,28y 296d,Right hand Bat,Wicketkeeper,Wicketkeeper Batter
Australia won by 6 wickets (with 42 balls remaining),IND,India won by 70 runs,NED,ENG
Richard Keith Illingworth,60y 124d,Right hand Bat,Slow Left arm Orthodox,Bowler
Joel Sheldon Wilson,56y 360d,Umpire,Explore Statsguru Analysis,ODI Matches
Christopher Blair Gaffaney,48y 25d,Right hand Bat,Umpire,Batting & Fielding
Andrew John Pycroft,67y 202d,Right hand Bat,Right arm Offbreak,"Referee, Coach"
Match yet to begin,IND,Match yet to begin,AFG,IND
Match yet to begin,NZ,Match yet to begin,SA,Rohit Sharma on how important a series win against South Africa will be for India
Match yet to begin,AUS,Match yet to begin,WI,AUS
Match yet to begin,NZ,Match yet to begin,PAK,NZ
Match yet to begin,NZ,Match yet to begin,PAK,NZ
Afghanistan won by 109 runs,UAE,Match yet to begin,AFG,UAE
Match yet to begin,IND,Match yet to begin,ENG,IND
Match yet to begin,NZ,Match yet to begin,"On Saturday in Napier, Bangladesh won a men's ODI against New Zealand in their own backyard for the first time",
Match yet to begin,SL,Match yet to begin,ZIM,SL
India won by 160 runs,NED,Afghanistan won by 7 wickets (with 111 balls remaining),BAN,AUS
Quinton de Kock,31y 8d,Left hand Bat,Wicketkeeper,Wicketkeeper Batter
Temba Bavuma,33y 222d,Right hand Bat,Right arm Medium,Middle order Batter
Hendrik Erasmus van der Dussen,34y 321d,Right hand Bat,Legbreak,Top order Batter
Aiden Kyle Markram,29y 82d,Right hand Bat,Right arm Offbreak,Opening Batter
Heinrich Klaasen,32y 148d,Right hand Bat,Right arm Offbreak,Wicketkeeper
David Andrew Miller,34y 198d,Left hand Bat,Right arm Offbreak,Middle order Batter
Marco Jansen,23y 238d,Right hand Bat,Left arm Medium fast,Bowling Allrounder
Gerald Coetzee,23y 84d,Right hand Bat,Right arm Fast,Bowler
Keshav Athmanand Maharaj,33y 321d,Right hand Bat,Slow Left arm Orthodox,Bowler
Kagiso Rabada,28y 214d,Left hand Bat,Right arm Fast,Bowler
Tabraiz Shamsi,33y 310d,Right hand Bat,Left arm Wrist spin,Bowler
Nitin Narendra Menon,40y 53d,Right hand Bat, (father),Umpire
Michael Andrew Gough,44y 7d,Right hand Bat,Right arm Offbreak,Umpire
Javagal Srinath,54y 116d,Right hand Bat,Right arm Fast medium,Bowler
Trent Alexander Boult,34y 156d,Right hand Bat,Left arm Fast medium,Bowler
Timothy Grant Southee,35y 14d,Right hand Bat,Right arm Medium fast,Bowler
Mitchell Josef Santner,31y 323d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Lachlan Hammond Ferguson,32y 195d,Lockie,Right hand Bat,Right arm Fast
Rachin Ravindra,24y 37d,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
Glenn Dominic Phillips,27y 19d,Right hand Bat,Right arm Offbreak,Wicketkeeper
Devon Philip Conway,32y 170d,Left hand Bat,Right arm Medium,Occasional Wicketkeeper
Kane Stuart Williamson,33y 139d,Right hand Bat,Right arm Offbreak,Top order Batter
Daryl Joseph Mitchell,32y 219d,Moose,Right hand Bat,Right arm Medium
Thomas William Maxwell Latham,31y 267d,Left hand Bat,Right arm Medium,Wicketkeeper
