Match,Winning Team,Player,Overs,Runs,Wickets,Econ,Wide,NB,Match ID
India vs Australia,Australia,Mitchell Starc,10.0,55,3,5.5,3,0,ODI # 4662
India vs Australia,Australia,Josh Hazlewood,10.0,60,2,6.0,1,0,ODI # 4662
India vs Australia,Australia,Glenn Maxwell,6.0,35,1,5.83,0,0,ODI # 4662
India vs Australia,Australia,Pat Cummins,10.0,34,2,3.4,2,0,ODI # 4662
India vs Australia,Australia,Adam Zampa,10.0,44,1,4.4,1,0,ODI # 4662
India vs Australia,Australia,Mitchell Marsh,2.0,5,0,2.5,0,0,ODI # 4662
India vs Australia,Australia,Travis Head,2.0,4,0,2.0,0,0,ODI # 4662
India vs Australia,Australia,Jasprit Bumrah,9.0,43,2,4.77,0,0,ODI # 4662
India vs Australia,Australia,Mohammed Shami,7.0,47,1,6.71,3,0,ODI # 4662
India vs Australia,Australia,Ravindra Jadeja,10.0,43,0,4.3,1,0,ODI # 4662
India vs Australia,Australia,Kuldeep Yadav,10.0,56,0,5.6,0,0,ODI # 4662
India vs Australia,Australia,Mohammed Siraj,7.0,45,1,6.42,0,0,ODI # 4662
Australia vs South Africa,Australia,Mitchell Starc,10.0,34,3,3.4,4,0,ODI # 4667
Australia vs South Africa,Australia,Josh Hazlewood,8.0,12,2,1.5,0,0,ODI # 4667
Australia vs South Africa,Australia,Pat Cummins,9.4,51,3,5.27,2,0,ODI # 4667
Australia vs South Africa,Australia,Adam Zampa,7.0,55,0,7.85,0,0,ODI # 4667
Australia vs South Africa,Australia,Glenn Maxwell,10.0,35,0,3.5,0,0,ODI # 4667
Australia vs South Africa,Australia,Travis Head,5.0,21,2,4.2,1,0,ODI # 4667
Australia vs South Africa,Australia,Marco Jansen,4.2,35,0,8.07,4,0,ODI # 4667
Australia vs South Africa,Australia,Kagiso Rabada,6.0,41,1,6.83,1,1,ODI # 4667
Australia vs South Africa,Australia,Aiden Markram,8.0,23,1,2.87,1,0,ODI # 4667
Australia vs South Africa,Australia,Gerald Coetzee,9.0,47,2,5.22,1,1,ODI # 4667
Australia vs South Africa,Australia,Tabraiz Shamsi,10.0,42,2,4.2,5,0,ODI # 4667
Australia vs South Africa,Australia,Keshav Maharaj,10.0,24,1,2.4,0,0,ODI # 4667
India vs New Zealand,India,Trent Boult,10.0,86,1,8.6,2,0,ODI # 4678
India vs New Zealand,India,Tim Southee,10.0,100,3,10.0,1,0,ODI # 4678
India vs New Zealand,India,Mitchell Santner,10.0,51,0,5.1,0,0,ODI # 4678
India vs New Zealand,India,Lockie Ferguson,8.0,65,0,8.12,1,0,ODI # 4678
India vs New Zealand,India,Rachin Ravindra,7.0,60,0,8.57,2,0,ODI # 4678
India vs New Zealand,India,Glenn Phillips,5.0,33,0,6.6,0,0,ODI # 4678
India vs New Zealand,India,Jasprit Bumrah,10.0,64,1,6.4,6,0,ODI # 4678
India vs New Zealand,India,Mohammed Siraj,9.0,78,1,8.66,3,0,ODI # 4678
India vs New Zealand,India,Mohammed Shami,9.5,57,7,5.79,2,0,ODI # 4678
India vs New Zealand,India,Ravindra Jadeja,10.0,63,0,6.3,0,1,ODI # 4678
India vs New Zealand,India,Kuldeep Yadav,10.0,56,1,5.6,0,0,ODI # 4678
India vs Netherlands,India,Aryan Dutt,7.0,52,0,7.42,1,0,ODI # 4702
India vs Netherlands,India,Logan van Beek,10.0,107,0,10.7,1,0,ODI # 4702
India vs Netherlands,India,Colin Ackermann,3.0,25,0,8.33,1,0,ODI # 4702
India vs Netherlands,India,Paul van Meekeren,10.0,90,1,9.0,2,1,ODI # 4702
India vs Netherlands,India,Roelof van der Merwe,10.0,53,1,5.3,0,0,ODI # 4702
India vs Netherlands,India,Bas de Leede,10.0,82,2,8.2,8,0,ODI # 4702
India vs Netherlands,India,Jasprit Bumrah,9.0,33,2,3.66,1,0,ODI # 4702
India vs Netherlands,India,Mohammed Siraj,6.0,29,2,4.83,1,0,ODI # 4702
India vs Netherlands,India,Mohammed Shami,6.0,41,0,6.83,1,0,ODI # 4702
India vs Netherlands,India,Kuldeep Yadav,10.0,41,2,4.1,0,0,ODI # 4702
India vs Netherlands,India,Ravindra Jadeja,9.0,49,2,5.44,1,0,ODI # 4702
India vs Netherlands,India,Virat Kohli,3.0,13,1,4.33,0,0,ODI # 4702
India vs Netherlands,India,Shubman Gill,2.0,11,0,5.5,0,0,ODI # 4702
India vs Netherlands,India,Suryakumar Yadav,2.0,17,0,8.5,0,0,ODI # 4702
India vs Netherlands,India,Rohit Sharma,0.5,7,1,8.4,0,0,ODI # 4702
England vs Pakistan,England,Shaheen Shah Afridi,10.0,72,2,7.2,0,0,ODI # 4701
England vs Pakistan,England,Haris Rauf,10.0,64,3,6.4,3,0,ODI # 4701
England vs Pakistan,England,Iftikhar Ahmed,7.0,38,1,5.42,0,0,ODI # 4701
England vs Pakistan,England,Mohammad Wasim,10.0,74,2,7.4,1,0,ODI # 4701
England vs Pakistan,England,Shadab Khan,10.0,57,0,5.7,0,0,ODI # 4701
England vs Pakistan,England,Agha Salman,3.0,25,0,8.33,0,0,ODI # 4701
England vs Pakistan,England,David Willey,10.0,56,3,5.6,2,0,ODI # 4701
England vs Pakistan,England,Chris Woakes,5.3,27,1,4.9,0,0,ODI # 4701
England vs Pakistan,England,Adil Rashid,10.0,55,2,5.5,1,0,ODI # 4701
England vs Pakistan,England,Gus Atkinson,8.0,45,2,5.62,2,0,ODI # 4701
England vs Pakistan,England,Moeen Ali,10.0,60,2,6.0,0,0,ODI # 4701
Australia vs Bangladesh,Australia,Josh Hazlewood,7.0,21,0,3.0,0,0,ODI # 4700
Australia vs Bangladesh,Australia,Pat Cummins,8.0,56,0,7.0,4,0,ODI # 4700
Australia vs Bangladesh,Australia,Sean Abbott,10.0,61,2,6.1,0,1,ODI # 4700
Australia vs Bangladesh,Australia,Mitchell Marsh,4.0,48,0,12.0,2,1,ODI # 4700
Australia vs Bangladesh,Australia,Adam Zampa,10.0,32,2,3.2,0,0,ODI # 4700
Australia vs Bangladesh,Australia,Travis Head,6.0,33,0,5.5,0,0,ODI # 4700
Australia vs Bangladesh,Australia,Marcus Stoinis,5.0,45,1,9.0,2,0,ODI # 4700
Australia vs Bangladesh,Australia,Taskin Ahmed,10.0,61,1,6.1,1,0,ODI # 4700
Australia vs Bangladesh,Australia,Mahedi Hasan,9.0,38,0,4.22,1,0,ODI # 4700
Australia vs Bangladesh,Australia,Nasum Ahmed,10.0,85,0,8.5,1,0,ODI # 4700
Australia vs Bangladesh,Australia,Mehidy Hasan Miraz,6.0,47,0,7.83,0,0,ODI # 4700
Australia vs Bangladesh,Australia,Mustafizur Rahman,9.4,76,1,7.86,1,0,ODI # 4700
Afghanistan vs South Africa,South Africa,Kagiso Rabada,10.0,40,0,4.0,0,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Lungi Ngidi,8.3,69,2,8.11,6,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Aiden Markram,4.3,25,0,5.55,0,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Gerald Coetzee,10.0,44,4,4.4,2,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Keshav Maharaj,10.0,25,2,2.5,2,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Andile Phehlukwayo,7.0,36,1,5.14,0,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Mujeeb Ur Rahman,10.0,51,1,5.1,1,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Naveen-ul-Haq,6.3,52,0,8.0,1,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Mohammad Nabi,10.0,35,2,3.5,0,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Azmatullah Omarzai,1.0,8,0,8.0,0,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Rashid Khan,10.0,37,2,3.7,1,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Noor Ahmad,9.0,49,0,5.44,3,0,ODI # 4699
Afghanistan vs South Africa,South Africa,Rahmat Shah,1.0,12,0,12.0,0,0,ODI # 4699
New Zealand vs Sri Lanka,New Zealand,Trent Boult,10.0,37,3,3.7,3,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Tim Southee,8.0,52,1,6.5,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Lockie Ferguson,10.0,35,2,3.5,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Mitchell Santner,10.0,22,2,2.2,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Rachin Ravindra,7.4,21,2,2.73,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Glenn Phillips,1.0,3,0,3.0,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Dilshan Madushanka,6.2,58,0,9.15,1,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Maheesh Theekshana,7.0,43,1,6.14,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Dhananjaya de Silva,2.0,22,0,11.0,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Dushmantha Chameera,4.0,20,1,5.0,0,0,ODI # 4698
New Zealand vs Sri Lanka,New Zealand,Angelo Mathews,4.0,29,2,7.25,1,0,ODI # 4698
England vs Netherlands,England,Aryan Dutt,10.0,67,2,6.7,1,1,ODI # 4697
England vs Netherlands,England,Logan van Beek,10.0,88,2,8.8,10,0,ODI # 4697
England vs Netherlands,England,Paul van Meekeren,10.0,57,1,5.7,5,0,ODI # 4697
England vs Netherlands,England,Bas de Leede,10.0,74,3,7.4,0,0,ODI # 4697
England vs Netherlands,England,Roelof van der Merwe,3.0,22,0,7.33,0,0,ODI # 4697
England vs Netherlands,England,Colin Ackermann,7.0,31,0,4.42,0,0,ODI # 4697
England vs Netherlands,England,Chris Woakes,7.0,19,1,2.71,2,0,ODI # 4697
England vs Netherlands,England,David Willey,7.0,19,2,2.71,0,0,ODI # 4697
England vs Netherlands,England,Gus Atkinson,7.0,41,0,5.85,1,0,ODI # 4697
England vs Netherlands,England,Moeen Ali,8.2,42,3,5.04,0,0,ODI # 4697
England vs Netherlands,England,Adil Rashid,8.0,54,3,6.75,1,0,ODI # 4697
Afghanistan vs Australia,Australia,Mitchell Starc,9.0,70,1,7.77,5,0,ODI # 4696
Afghanistan vs Australia,Australia,Josh Hazlewood,9.0,39,2,4.33,1,0,ODI # 4696
Afghanistan vs Australia,Australia,Glenn Maxwell,10.0,55,1,5.5,0,1,ODI # 4696
Afghanistan vs Australia,Australia,Pat Cummins,8.0,47,0,5.87,1,0,ODI # 4696
